市场,信号日,代码,名称,排名,持有期,买入价,卖出价,收益%,实际持有交易日,日线J,周线J,月线J,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%,MA20,MA60,量比,策略
个股,2026-07-19,002371,北方华创,30,5,677.0,757.0,11.67,5,-3.83,32.26,64.36,88.11,43.99,12.5,81.31,,,,全样本(基准)
个股,2026-07-19,002475,立讯精密,31,5,57.91,60.59,4.48,5,26.23,-10.21,48.38,26.05,36.26,5.08,40.95,,,,全样本(基准)
个股,2026-07-19,002384,东山精密,32,5,241.92,199.18,-17.82,5,56.99,47.93,87.6,217.2,98.94,19.57,99.23,,,,全样本(基准)
个股,2026-07-19,600030,中信证券,33,5,27.6,27.95,1.12,5,14.54,65.03,70.87,12.14,4.25,1.4,39.64,,,,全样本(基准)
个股,2026-07-19,601998,中信银行,34,5,7.33,7.61,3.67,5,71.18,32.61,18.5,5.73,59.73,0.55,46.69,,,,全样本(基准)
个股,2026-07-19,688235,百济神州,35,5,250.51,271.0,8.03,5,19.36,72.68,31.96,122.08,94.15,11.69,74.44,,,,全样本(基准)
个股,2026-07-19,601166,兴业银行,36,5,17.75,18.33,3.12,5,82.84,49.56,17.19,4.85,30.42,0.45,4.88,,,,全样本(基准)
个股,2026-07-19,603993,洛阳钼业,37,5,17.41,19.04,9.21,5,59.85,18.24,4.38,15.42,16.27,4.19,87.11,,,,全样本(基准)
个股,2026-07-19,600276,恒瑞医药,38,5,53.19,53.45,0.34,5,17.47,80.14,23.92,43.48,4.59,5.55,3.04,,,,全样本(基准)
个股,2026-07-19,603259,药明康德,39,5,117.89,125.0,5.88,5,32.61,80.62,72.59,17.47,14.02,4.18,30.35,,,,全样本(基准)
个股,2026-07-19,688012,中微公司,40,5,350.69,388.5,10.63,5,-8.26,48.61,70.89,123.09,68.26,13.82,76.7,,,,全样本(基准)
个股,2026-07-19,603986,兆易创新,41,5,463.15,457.0,-1.48,5,-4.62,21.43,57.62,113.06,62.72,12.86,80.11,,,,全样本(基准)
个股,2026-07-19,601211,国泰海通,42,5,18.3,19.22,4.88,5,19.04,78.89,39.4,14.69,60.7,0.99,33.8,,,,全样本(基准)
个股,2026-07-19,600183,生益科技,43,5,132.29,118.71,-10.42,5,18.97,41.42,67.45,81.8,98.31,17.92,98.31,,,,全样本(基准)
个股,2026-07-19,601319,中国人保,44,5,7.11,7.3,2.66,5,67.09,89.06,-1.74,7.52,9.47,1.0,25.82,,,,全样本(基准)
个股,2026-07-19,688802,沐曦股份-U,45,5,779.97,821.61,5.19,5,25.04,45.08,81.31,-475.87,12.14,23.82,81.43,,,,全样本(基准)
个股,2026-07-19,300059,东方财富,46,5,19.7,19.4,-1.67,5,24.99,68.37,22.25,23.78,4.83,3.26,11.2,,,,全样本(基准)
个股,2026-07-19,002415,海康威视,47,5,32.6,34.94,7.03,5,13.4,65.96,66.54,20.34,13.81,3.53,13.09,,,,全样本(基准)
个股,2026-07-19,601869,长飞光纤,48,5,361.27,331.36,-8.43,5,11.02,-2.89,65.43,258.69,94.79,21.03,96.65,,,,全样本(基准)
个股,2026-07-19,600000,浦发银行,49,5,8.87,9.04,1.77,5,93.38,60.65,3.9,5.88,63.79,0.39,23.76,,,,全样本(基准)
个股,2026-07-19,688795,摩尔线程-U,50,5,612.98,600.01,-2.27,5,8.22,22.34,40.52,-335.43,35.81,25.01,37.84,,,,全样本(基准)
个股,2026-07-19,601601,XD中国太,51,5,29.75,31.95,7.24,5,88.88,37.24,-8.47,5.31,0.53,0.9,5.65,,,,全样本(基准)
个股,2026-07-19,000858,五 粮 液,52,5,72.76,73.57,0.96,5,93.76,26.12,4.82,22.41,30.18,2.21,0.19,,,,全样本(基准)
个股,2026-07-19,688820,盛合晶微,53,5,145.45,140.89,-3.29,5,-10.1,8.63,,274.9,23.33,18.73,23.33,,,,全样本(基准)
个股,2026-07-19,002463,沪电股份,54,5,127.8,112.22,-12.34,5,48.11,42.04,80.44,57.17,98.26,14.65,98.41,,,,全样本(基准)
个股,2026-07-19,600150,中国船舶,55,5,31.98,33.06,3.24,5,-12.72,8.48,19.13,21.53,25.83,1.63,16.95,,,,全样本(基准)
个股,2026-07-19,300476,胜宏科技,56,5,241.5,230.01,-4.91,5,11.62,-17.12,15.27,50.72,84.26,13.64,89.14,,,,全样本(基准)
个股,2026-07-19,601816,京沪高铁,57,5,4.72,4.92,4.08,5,87.95,49.97,37.61,17.66,1.46,1.12,1.46,,,,全样本(基准)
个股,2026-07-19,002379,宏桥控股,58,5,18.09,19.06,5.21,5,104.35,38.01,-3.75,11.96,72.28,4.51,82.71,,,,全样本(基准)
个股,2026-07-19,601225,陕西煤业,59,5,24.3,24.7,1.5,5,72.05,47.54,47.23,14.57,97.39,2.31,80.88,,,,全样本(基准)
个股,2026-07-19,300394,天孚通信,60,5,211.37,203.41,-3.92,5,12.3,-2.91,49.43,106.16,94.69,38.56,95.03,,,,全样本(基准)
个股,2026-07-19,002714,牧原股份,61,5,39.83,38.68,-3.04,5,77.93,81.8,20.96,23.51,69.53,2.67,1.98,,,,全样本(基准)
个股,2026-07-19,002916,深南电路,62,5,334.0,332.81,-0.51,5,-4.36,22.32,64.79,62.6,94.59,12.58,90.58,,,,全样本(基准)
个股,2026-07-19,000725,京东方Ａ,63,5,6.07,5.79,-4.76,5,-5.99,47.51,59.92,37.79,57.7,1.65,74.46,,,,全样本(基准)
个股,2026-07-19,688008,澜起科技,64,5,183.21,233.27,27.17,5,-1.94,3.07,52.37,87.62,61.89,10.75,68.79,,,,全样本(基准)
个股,2026-07-19,000651,格力电器,65,5,39.95,40.46,1.13,5,94.77,72.93,72.43,7.67,24.82,1.47,4.15,,,,全样本(基准)
个股,2026-07-19,601919,中远海控,66,5,14.54,15.32,5.21,5,87.08,84.04,17.43,8.86,56.49,0.94,22.89,,,,全样本(基准)
个股,2026-07-19,600309,万华化学,67,5,70.04,73.75,5.15,5,39.53,21.91,17.36,16.66,57.03,1.97,6.33,,,,全样本(基准)
个股,2026-07-19,002938,鹏鼎控股,68,5,93.89,88.39,-6.01,5,58.29,26.83,71.04,58.61,98.0,6.28,96.15,,,,全样本(基准)
个股,2026-07-19,000338,潍柴动力,69,5,24.23,27.25,12.32,5,-0.29,-8.87,53.19,18.8,85.8,2.23,70.3,,,,全样本(基准)
个股,2026-07-19,603288,海天味业,70,5,36.0,35.85,-0.57,5,98.5,78.85,37.02,28.94,1.98,5.01,2.08,,,,全样本(基准)
个股,2026-07-19,300274,阳光电源,71,5,101.61,113.42,11.47,5,10.68,-12.66,7.24,17.66,30.71,4.33,40.27,,,,全样本(基准)
个股,2026-07-19,301666,大普微-UW,72,5,482.28,485.66,0.55,5,5.92,-8.68,,16206.09,22.22,262.3,22.22,,,,全样本(基准)
个股,2026-07-19,000001,平安银行,73,5,10.78,11.1,2.82,5,83.49,48.63,31.79,4.86,20.86,0.45,2.66,,,,全样本(基准)
个股,2026-07-19,002142,宁波银行,74,5,31.64,32.01,1.02,5,96.26,68.11,67.0,6.94,30.61,0.9,27.33,,,,全样本(基准)
